[epoch:0, iter:148] avg_LOSS: 2.130 | avg_ACC: 20.892% 
[epoch:0, iter:149] avg_LOSS: 2.129 | avg_ACC: 20.946% 
[epoch:0, iter:150] avg_LOSS: 2.128 | avg_ACC: 20.993% 
[epoch:0, iter:151] avg_LOSS: 2.127 | avg_ACC: 21.020% 
[epoch:0, iter:152] avg_LOSS: 2.126 | avg_ACC: 21.086% 
[epoch:0, iter:153] avg_LOSS: 2.125 | avg_ACC: 21.163% 
[epoch:0, iter:154] avg_LOSS: 2.125 | avg_ACC: 21.188% 
[epoch:0, iter:155] avg_LOSS: 2.123 | avg_ACC: 21.258% 
[epoch:0, iter:156] avg_LOSS: 2.122 | avg_ACC: 21.314% 
[epoch:0, iter:157] avg_LOSS: 2.120 | avg_ACC: 21.382% 
[epoch:0, iter:158] avg_LOSS: 2.119 | avg_ACC: 21.424% 
[epoch:0, iter:159] avg_LOSS: 2.118 | avg_ACC: 21.472% 
[epoch:0, iter:160] avg_LOSS: 2.117 | avg_ACC: 21.494% 
[epoch:0, iter:161] avg_LOSS: 2.116 | avg_ACC: 21.540% 
[epoch:0, iter:162] avg_LOSS: 2.115 | avg_ACC: 21.568% 
[epoch:0, iter:163] avg_LOSS: 2.114 | avg_ACC: 21.626% 
[epoch:0, iter:164] avg_LOSS: 2.113 | avg_ACC: 21.689% 
[epoch:0, iter:165] avg_LOSS: 2.111 | avg_ACC: 21.758% 
[epoch:0, iter:166] avg_LOSS: 2.111 | avg_ACC: 21.759% 
[epoch:0, iter:167] avg_LOSS: 2.110 | avg_ACC: 21.838% 
[epoch:0, iter:168] avg_LOSS: 2.109 | avg_ACC: 21.839% 
[epoch:0, iter:169] avg_LOSS: 2.108 | avg_ACC: 21.864% 
[epoch:0, iter:170] avg_LOSS: 2.107 | avg_ACC: 21.906% 
[epoch:0, iter:171] avg_LOSS: 2.105 | avg_ACC: 21.959% 
[epoch:0, iter:172] avg_LOSS: 2.104 | avg_ACC: 21.994% 
[epoch:0, iter:173] avg_LOSS: 2.103 | avg_ACC: 22.046% 
[epoch:0, iter:174] avg_LOSS: 2.102 | avg_ACC: 22.109% 
[epoch:0, iter:175] avg_LOSS: 2.102 | avg_ACC: 22.160% 
[epoch:0, iter:176] avg_LOSS: 2.100 | avg_ACC: 22.188% 
[epoch:0, iter:177] avg_LOSS: 2.099 | avg_ACC: 22.232% 
[epoch:0, iter:178] avg_LOSS: 2.098 | avg_ACC: 22.292% 
[epoch:0, iter:179] avg_LOSS: 2.096 | avg_ACC: 22.346% 
[epoch:0, iter:180] avg_LOSS: 2.094 | avg_ACC: 22.444% 
[epoch:0, iter:181] avg_LOSS: 2.093 | avg_ACC: 22.475% 
[epoch:0, iter:182] avg_LOSS: 2.093 | avg_ACC: 22.549% 
[epoch:0, iter:183] avg_LOSS: 2.092 | avg_ACC: 22.579% 
[epoch:0, iter:184] avg_LOSS: 2.090 | avg_ACC: 22.620% 
[epoch:0, iter:185] avg_LOSS: 2.089 | avg_ACC: 22.676% 
[epoch:0, iter:186] avg_LOSS: 2.088 | avg_ACC: 22.710% 
[epoch:0, iter:187] avg_LOSS: 2.088 | avg_ACC: 22.770% 
[epoch:0, iter:188] avg_LOSS: 2.087 | avg_ACC: 22.777% 
[epoch:0, iter:189] avg_LOSS: 2.086 | avg_ACC: 22.804% 
[epoch:0, iter:190] avg_LOSS: 2.086 | avg_ACC: 22.826% 
[epoch:0, iter:191] avg_LOSS: 2.085 | avg_ACC: 22.853% 
[epoch:0, iter:192] avg_LOSS: 2.084 | avg_ACC: 22.880% 
[epoch:0, iter:193] avg_LOSS: 2.083 | avg_ACC: 22.907% 
[epoch:0, iter:194] avg_LOSS: 2.082 | avg_ACC: 22.948% 
[epoch:0, iter:195] avg_LOSS: 2.081 | avg_ACC: 23.010% 
[epoch:0, iter:196] avg_LOSS: 2.080 | avg_ACC: 23.077% 
[epoch:0, iter:197] avg_LOSS: 2.079 | avg_ACC: 23.112% 
[epoch:0, iter:198] avg_LOSS: 2.078 | avg_ACC: 23.141% 
[epoch:0, iter:199] avg_LOSS: 2.077 | avg_ACC: 23.221% 
[epoch:0, iter:200] avg_LOSS: 2.076 | avg_ACC: 23.285% 
[epoch:0, iter:201] avg_LOSS: 2.075 | avg_ACC: 23.313% 
[epoch:0, iter:202] avg_LOSS: 2.075 | avg_ACC: 23.307% 
[epoch:0, iter:203] avg_LOSS: 2.073 | avg_ACC: 23.360% 
[epoch:0, iter:204] avg_LOSS: 2.072 | avg_ACC: 23.392% 
[epoch:0, iter:205] avg_LOSS: 2.071 | avg_ACC: 23.449% 
[epoch:0, iter:206] avg_LOSS: 2.070 | avg_ACC: 23.490% 
[epoch:0, iter:207] avg_LOSS: 2.069 | avg_ACC: 23.512% 
[epoch:0, iter:208] avg_LOSS: 2.068 | avg_ACC: 23.548% 
[epoch:0, iter:209] avg_LOSS: 2.066 | avg_ACC: 23.632% 
[epoch:0, iter:210] avg_LOSS: 2.065 | avg_ACC: 23.695% 
[epoch:0, iter:211] avg_LOSS: 2.063 | avg_ACC: 23.791% 
[epoch:0, iter:212] avg_LOSS: 2.062 | avg_ACC: 23.835% 
[epoch:0, iter:213] avg_LOSS: 2.061 | avg_ACC: 23.892% 
[epoch:0, iter:214] avg_LOSS: 2.060 | avg_ACC: 23.902% 
[epoch:0, iter:215] avg_LOSS: 2.058 | avg_ACC: 23.972% 
[epoch:0, iter:216] avg_LOSS: 2.058 | avg_ACC: 24.037% 
[epoch:0, iter:217] avg_LOSS: 2.057 | avg_ACC: 24.051% 
[epoch:0, iter:218] avg_LOSS: 2.056 | avg_ACC: 24.087% 
[epoch:0, iter:219] avg_LOSS: 2.055 | avg_ACC: 24.128% 
[epoch:0, iter:220] avg_LOSS: 2.054 | avg_ACC: 24.141% 
[epoch:0, iter:221] avg_LOSS: 2.053 | avg_ACC: 24.190% 
[epoch:0, iter:222] avg_LOSS: 2.052 | avg_ACC: 24.243% 
[epoch:0, iter:223] avg_LOSS: 2.052 | avg_ACC: 24.291% 
[epoch:0, iter:224] avg_LOSS: 2.051 | avg_ACC: 24.326% 
[epoch:0, iter:225] avg_LOSS: 2.049 | avg_ACC: 24.396% 
[epoch:0, iter:226] avg_LOSS: 2.048 | avg_ACC: 24.416% 
[epoch:0, iter:227] avg_LOSS: 2.048 | avg_ACC: 24.485% 
[epoch:0, iter:228] avg_LOSS: 2.047 | avg_ACC: 24.518% 
[epoch:0, iter:229] avg_LOSS: 2.046 | avg_ACC: 24.555% 
[epoch:0, iter:230] avg_LOSS: 2.045 | avg_ACC: 24.565% 
[epoch:0, iter:231] avg_LOSS: 2.044 | avg_ACC: 24.632% 
[epoch:0, iter:232] avg_LOSS: 2.043 | avg_ACC: 24.698% 
[epoch:0, iter:233] avg_LOSS: 2.042 | avg_ACC: 24.725% 
[epoch:0, iter:234] avg_LOSS: 2.041 | avg_ACC: 24.761% 
[epoch:0, iter:235] avg_LOSS: 2.041 | avg_ACC: 24.783% 
[epoch:0, iter:236] avg_LOSS: 2.040 | avg_ACC: 24.822% 
[epoch:0, iter:237] avg_LOSS: 2.039 | avg_ACC: 24.861% 
[epoch:0, iter:238] avg_LOSS: 2.039 | avg_ACC: 24.882% 
[epoch:0, iter:239] avg_LOSS: 2.037 | avg_ACC: 24.925% 
[epoch:0, iter:240] avg_LOSS: 2.036 | avg_ACC: 24.979% 
[epoch:0, iter:241] avg_LOSS: 2.035 | avg_ACC: 25.037% 
[epoch:0, iter:242] avg_LOSS: 2.034 | avg_ACC: 25.103% 
[epoch:0, iter:243] avg_LOSS: 2.034 | avg_ACC: 25.152% 
[epoch:0, iter:244] avg_LOSS: 2.033 | avg_ACC: 25.176% 
[epoch:0, iter:245] avg_LOSS: 2.032 | avg_ACC: 25.253% 
[epoch:0, iter:246] avg_LOSS: 2.031 | avg_ACC: 25.276% 
[epoch:0, iter:247] avg_LOSS: 2.031 | avg_ACC: 25.287% 
[epoch:0, iter:248] avg_LOSS: 2.031 | avg_ACC: 25.282% 
[epoch:0, iter:249] avg_LOSS: 2.030 | avg_ACC: 25.321% 
[epoch:0, iter:250] avg_LOSS: 2.029 | avg_ACC: 25.400% 
[epoch:0, iter:251] avg_LOSS: 2.028 | avg_ACC: 25.450% 
[epoch:0, iter:252] avg_LOSS: 2.027 | avg_ACC: 25.476% 
[epoch:0, iter:253] avg_LOSS: 2.026 | avg_ACC: 25.545% 
[epoch:0, iter:254] avg_LOSS: 2.025 | avg_ACC: 25.571% 
[epoch:0, iter:255] avg_LOSS: 2.025 | avg_ACC: 25.604% 
[epoch:0, iter:256] avg_LOSS: 2.025 | avg_ACC: 25.609% 
[epoch:0, iter:257] avg_LOSS: 2.024 | avg_ACC: 25.626% 
[epoch:0, iter:258] avg_LOSS: 2.023 | avg_ACC: 25.636% 
[epoch:0, iter:259] avg_LOSS: 2.023 | avg_ACC: 25.676% 
[epoch:0, iter:260] avg_LOSS: 2.022 | avg_ACC: 25.742% 
[epoch:0, iter:261] avg_LOSS: 2.021 | avg_ACC: 25.755% 
