[epoch:0, iter:136] avg_LOSS: 1.672 | avg_ACC: 38.603% 
[epoch:0, iter:137] avg_LOSS: 1.673 | avg_ACC: 38.657% 
[epoch:0, iter:138] avg_LOSS: 1.671 | avg_ACC: 38.732% 
[epoch:0, iter:139] avg_LOSS: 1.667 | avg_ACC: 38.899% 
[epoch:0, iter:140] avg_LOSS: 1.665 | avg_ACC: 38.979% 
[epoch:0, iter:141] avg_LOSS: 1.663 | avg_ACC: 39.064% 
[epoch:0, iter:142] avg_LOSS: 1.661 | avg_ACC: 39.106% 
[epoch:0, iter:143] avg_LOSS: 1.657 | avg_ACC: 39.224% 
[epoch:0, iter:144] avg_LOSS: 1.655 | avg_ACC: 39.285% 
[epoch:0, iter:145] avg_LOSS: 1.652 | avg_ACC: 39.393% 
[epoch:0, iter:146] avg_LOSS: 1.649 | avg_ACC: 39.500% 
[epoch:0, iter:147] avg_LOSS: 1.647 | avg_ACC: 39.585% 
[epoch:0, iter:148] avg_LOSS: 1.645 | avg_ACC: 39.655% 
[epoch:0, iter:149] avg_LOSS: 1.643 | avg_ACC: 39.738% 
[epoch:0, iter:150] avg_LOSS: 1.640 | avg_ACC: 39.813% 
[epoch:0, iter:151] avg_LOSS: 1.638 | avg_ACC: 39.868% 
[epoch:0, iter:152] avg_LOSS: 1.635 | avg_ACC: 39.987% 
[epoch:0, iter:153] avg_LOSS: 1.634 | avg_ACC: 40.059% 
[epoch:0, iter:154] avg_LOSS: 1.631 | avg_ACC: 40.188% 
[epoch:0, iter:155] avg_LOSS: 1.631 | avg_ACC: 40.174% 
[epoch:0, iter:156] avg_LOSS: 1.632 | avg_ACC: 40.179% 
[epoch:0, iter:157] avg_LOSS: 1.631 | avg_ACC: 40.229% 
[epoch:0, iter:158] avg_LOSS: 1.630 | avg_ACC: 40.259% 
[epoch:0, iter:159] avg_LOSS: 1.628 | avg_ACC: 40.352% 
[epoch:0, iter:160] avg_LOSS: 1.628 | avg_ACC: 40.325% 
[epoch:0, iter:161] avg_LOSS: 1.626 | avg_ACC: 40.360% 
[epoch:0, iter:162] avg_LOSS: 1.625 | avg_ACC: 40.401% 
[epoch:0, iter:163] avg_LOSS: 1.623 | avg_ACC: 40.466% 
[epoch:0, iter:164] avg_LOSS: 1.622 | avg_ACC: 40.524% 
[epoch:0, iter:165] avg_LOSS: 1.620 | avg_ACC: 40.600% 
[epoch:0, iter:166] avg_LOSS: 1.620 | avg_ACC: 40.602% 
[epoch:0, iter:167] avg_LOSS: 1.618 | avg_ACC: 40.665% 
[epoch:0, iter:168] avg_LOSS: 1.616 | avg_ACC: 40.738% 
[epoch:0, iter:169] avg_LOSS: 1.614 | avg_ACC: 40.781% 
[epoch:0, iter:170] avg_LOSS: 1.612 | avg_ACC: 40.865% 
[epoch:0, iter:171] avg_LOSS: 1.611 | avg_ACC: 40.906% 
[epoch:0, iter:172] avg_LOSS: 1.611 | avg_ACC: 40.930% 
[epoch:0, iter:173] avg_LOSS: 1.610 | avg_ACC: 40.965% 
[epoch:0, iter:174] avg_LOSS: 1.608 | avg_ACC: 41.040% 
[epoch:0, iter:175] avg_LOSS: 1.606 | avg_ACC: 41.097% 
[epoch:0, iter:176] avg_LOSS: 1.605 | avg_ACC: 41.153% 
[epoch:0, iter:177] avg_LOSS: 1.604 | avg_ACC: 41.209% 
[epoch:0, iter:178] avg_LOSS: 1.601 | avg_ACC: 41.287% 
[epoch:0, iter:179] avg_LOSS: 1.599 | avg_ACC: 41.346% 
[epoch:0, iter:180] avg_LOSS: 1.596 | avg_ACC: 41.467% 
