[epoch:0, iter:251] LOSS: 1.713 | avg_ACC: 33.491% 
[epoch:0, iter:252] LOSS: 1.689 | avg_ACC: 33.532% 
[epoch:0, iter:253] LOSS: 1.730 | avg_ACC: 33.535% 
[epoch:0, iter:254] LOSS: 1.545 | avg_ACC: 33.575% 
[epoch:0, iter:255] LOSS: 1.470 | avg_ACC: 33.627% 
[epoch:0, iter:256] LOSS: 1.590 | avg_ACC: 33.636% 
[epoch:0, iter:257] LOSS: 1.646 | avg_ACC: 33.645% 
[epoch:0, iter:258] LOSS: 1.795 | avg_ACC: 33.642% 
[epoch:0, iter:259] LOSS: 1.517 | avg_ACC: 33.693% 
[epoch:0, iter:260] LOSS: 1.599 | avg_ACC: 33.708% 
[epoch:0, iter:261] LOSS: 1.672 | avg_ACC: 33.722% 
[epoch:0, iter:262] LOSS: 1.608 | avg_ACC: 33.743% 
[epoch:0, iter:263] LOSS: 1.621 | avg_ACC: 33.757% 
[epoch:0, iter:264] LOSS: 1.491 | avg_ACC: 33.813% 
[epoch:0, iter:265] LOSS: 1.668 | avg_ACC: 33.815% 
[epoch:0, iter:266] LOSS: 1.591 | avg_ACC: 33.817% 
[epoch:0, iter:267] LOSS: 1.721 | avg_ACC: 33.837% 
[epoch:0, iter:268] LOSS: 1.530 | avg_ACC: 33.862% 
[epoch:0, iter:269] LOSS: 1.527 | avg_ACC: 33.887% 
[epoch:0, iter:270] LOSS: 1.368 | avg_ACC: 33.947% 
[epoch:0, iter:271] LOSS: 1.765 | avg_ACC: 33.983% 
[epoch:0, iter:272] LOSS: 1.613 | avg_ACC: 33.990% 
[epoch:0, iter:273] LOSS: 1.546 | avg_ACC: 33.986% 
[epoch:0, iter:274] LOSS: 1.675 | avg_ACC: 33.987% 
[epoch:0, iter:275] LOSS: 1.491 | avg_ACC: 34.051% 
[epoch:0, iter:276] LOSS: 1.757 | avg_ACC: 34.047% 
[epoch:0, iter:277] LOSS: 1.625 | avg_ACC: 34.076% 
[epoch:0, iter:278] LOSS: 1.717 | avg_ACC: 34.094% 
[epoch:0, iter:279] LOSS: 1.454 | avg_ACC: 34.134% 
[epoch:0, iter:280] LOSS: 1.665 | avg_ACC: 34.152% 
[epoch:0, iter:281] LOSS: 1.610 | avg_ACC: 34.147% 
[epoch:0, iter:282] LOSS: 1.570 | avg_ACC: 34.192% 
[epoch:0, iter:283] LOSS: 1.473 | avg_ACC: 34.226% 
[epoch:0, iter:284] LOSS: 1.857 | avg_ACC: 34.232% 
[epoch:0, iter:285] LOSS: 1.700 | avg_ACC: 34.221% 
[epoch:0, iter:286] LOSS: 1.649 | avg_ACC: 34.217% 
[epoch:0, iter:287] LOSS: 1.514 | avg_ACC: 34.228% 
[epoch:0, iter:288] LOSS: 1.598 | avg_ACC: 34.245% 
[epoch:0, iter:289] LOSS: 1.491 | avg_ACC: 34.251% 
[epoch:0, iter:290] LOSS: 1.671 | avg_ACC: 34.273% 
[epoch:0, iter:291] LOSS: 1.691 | avg_ACC: 34.284% 
[epoch:0, iter:292] LOSS: 1.672 | avg_ACC: 34.295% 
[epoch:0, iter:293] LOSS: 1.643 | avg_ACC: 34.327% 
[epoch:0, iter:294] LOSS: 1.724 | avg_ACC: 34.348% 
[epoch:0, iter:295] LOSS: 1.774 | avg_ACC: 34.338% 
